4.16	27.97202797	140
6.88	52.10789211	140
10.75	90.37962038	140
16.22	152.9270729	140
22.4	218.7212787	140
29.2	281.8231768	140
36.9	362.1378621	140
44.58	450.3646354	140
53.05	554.6803197	140
60.6	632.5274725	140
65.35	684.1908092	140
68.15	710.8241758	140
4.05	31.49350649	120
6.57	52.36763237	120
10.28	98.06693307	120
15.33	147.2127872	120
21.8	214.9000999	120
28.8	291.5734266	120
36.4	360.8091908	120
44.22	443.1668332	120
53.23	558.3616384	120
60.25	626.9330669	120
65.85	686.6033966	120
68.75	717.7372627	120
3.45	21.77322677	100
5.91	44.56043956	100
9.6	85.58441558	100
14.29	135.2697303	100
20.4	196.3486513	100
28.06	277.5174825	100
36	358.1218781	100
43.15	442.8471528	100
51.66	539.6603397	100
59.2	618.001998	100
64.6	672.4475524	100
68.3	708.8311688	100
3.72	30.97902098	80
5.8	45.22977023	80
9.26	85.52447552	80
14	133.4315684	80
19.88	194.5054945	80
27.08	267.6523477	80
33.85	340.4945055	80
41.99	425.0649351	80
50.02	525.3296703	80
56.72	599.6403596	80
62.58	655.03996	80
65.88	691.8331668	80
3.43	22.05794206	60
5.24	39.08091908	60
8.09	70.0999001	60
12.31	113.5214785	60
17.3	165.3546454	60
24.36	241.3486513	60
30.83	307.1028971	60
37.33	374.3306693	60
44.88	456.2787213	60
52.35	550.3296703	60
56.77	596.4085914	60
60.46	634.0709291	60
3.01	8.336663337	40
4.3	28.42657343	40
6.4	46.97802198	40
9.55	81.76323676	40
13.87	125.6893107	40
19	181.6033966	40
24.6	237.6823177	40
30.9	303.1968032	40
36.99	370.4945055	40
42.52	428.4415584	40
47.22	489.6603397	40
50.14	522.7522478	40
